,codigo,setor,precoAtual,liquidezDiaria,dividendo,dividendYield,dividendYieldAnual,variacaoPreco,pvp,vacanciaFisica,vacanciaFinanceira
213,PLCA11,,"R$ 91,24",11.0,"R$ 1,10","1,15%","2,30%","1,05%",N/A,N/A,N/A
214,PLCR11,Híbrido,"R$ 84,15",3991.0,"R$ 1,00","1,19%","2,37%","-0,34%","0,93",N/A,N/A
215,PLOG11,Logística,"R$ 69,01",1071.0,"R$ 0,75","1,05%","2,09%","-1,07%","0,65","20,40%",N/A
216,PLRI11,Títulos e Val. Mob.,"R$ 21,72",10.0,"R$ 0,15","0,64%","1,08%","-3,52%","0,67",N/A,N/A
217,PORD11,Títulos e Val. Mob.,"R$ 83,69",8623.0,"R$ 1,05","1,19%","2,42%","-3,84%","0,85",N/A,N/A
218,PQAG11,Logística,"R$ 51,00",26.0,"R$ 0,44","0,83%","1,65%","-1,83%","0,89","0,00%",N/A
219,PQDP11,Shoppings,"R$ 1.597,56",431.0,"R$ 17,34","0,84%","1,35%","0,74%","0,48","3,60%",N/A
220,PRSV11,Lajes Corporativas,"R$ 111,64",5.0,"R$ 1,62","0,42%","4,46%","5,30%","0,51","40,90%",N/A
221,PVBI11,Lajes Corporativas,"R$ 88,46",23903.0,"R$ 0,61","0,71%","1,43%","0,88%","0,85","0,10%",N/A
222,QAGR11,Outros,"R$ 41,17",6804.0,"R$ 0,42","1,00%","1,99%","-0,64%","0,74",N/A,N/A
223,QAMI11,Híbrido,"R$ 77,97",192.0,"R$ 0,95","1,19%","2,30%","-1,98%","0,85",N/A,N/A
224,QIRI11,Títulos e Val. Mob.,"R$ 78,04",39.0,"R$ 89,64","114,86%","121,86%","1,48%","0,87",N/A,N/A
225,RBDS11,Residencial,"R$ 3,15",114.0,"R$ 0,00","0,00%","0,00%","0,00%","0,16",N/A,N/A
226,RBED11,Outros,"R$ 120,43",587.0,"R$ 1,26","1,03%","2,08%","2,07%","0,83","0,00%",N/A
227,RBFF11,Títulos e Val. Mob.,"R$ 46,50",5004.0,"R$ 0,49","0,96%","1,93%","0,30%","0,73",N/A,N/A
228,RBGS11,Shoppings,"R$ 28,45",5157.0,"R$ 0,18","0,62%","5,12%","-1,90%","0,31","13,00%",N/A
229,RBHG11,Títulos e Val. Mob.,"R$ 82,24",2218.0,"R$ 1,05","1,28%","3,72%","-1,78%","0,89",N/A,N/A
230,RBHY11,Títulos e Val. Mob.,"R$ 92,50",5475.0,"R$ 1,20","1,30%","3,79%","-3,17%","0,98",N/A,N/A
231,RBIF11,Renda,"R$ 100,00",223.0,"R$ 0,10","0,00%",N/A,"0,00%",N/A,N/A,N/A
232,RBIR11,Residencial,"R$ 60,87",19.0,"R$ 0,00","0,00%","0,00%","0,00%","0,64",N/A,N/A
233,RBLG11,Logística,"R$ 92,00",9.0,"R$ 0,88","0,94%","1,87%","-1,87%","0,92","0,00%",N/A
234,RBOP11,Outros,"R$ 438,90",320.0,"R$ 8,25","0,00%",N/A,"0,00%","0,57","0,00%",N/A
235,RBRD11,Híbrido,"R$ 33,34",871.0,"R$ 0,32","0,95%","1,87%","-3,38%","0,51","15,52%",N/A
236,RBRF11,Títulos e Val. Mob.,"R$ 62,50",28255.0,"R$ 0,63","0,98%","1,95%","-2,10%","0,76",N/A,N/A
237,RBRL11,Logística,"R$ 69,53",11209.0,"R$ 0,58","0,79%","1,70%","3,01%","0,66","0,00%","0,00%"
238,RBRP11,Outros,"R$ 43,95",13340.0,"R$ 0,27","0,60%","1,18%","-2,59%","0,56","13,00%","6,00%"
239,RBRR11,Títulos e Val. Mob.,"R$ 85,03",33557.0,"R$ 0,95","1,12%","2,26%","2,47%","0,90",N/A,N/A
240,RBRS11,Híbrido,"R$ 50,98",21.0,"R$ 0,40","0,75%","1,49%","-9,68%","0,54",N/A,N/A
241,RBRY11,Títulos e Val. Mob.,"R$ 94,26",13137.0,"R$ 1,20","1,27%","2,48%","-1,30%","0,94",N/A,N/A
242,RBTS11,Outros,"R$ 1.121,00",20.0,"R$ 17,08","0,00%",N/A,"0,00%","1,02",N/A,N/A
243,RBVA11,Outros,"R$ 91,01",5815.0,"R$ 0,95","1,03%","2,04%","-2,76%","0,85","0,70%",N/A
244,RBVO11,Outros,"R$ 9,00",97.0,"R$ 0,02","0,21%","0,31%","-3,88%","0,52",N/A,N/A
245,RCRB11,Lajes Corporativas,"R$ 108,07",2698.0,"R$ 0,74","0,64%","1,29%","1,82%","0,52","28,40%",N/A
246,RDPD11,Títulos e Val. Mob.,"R$ 24,80",253.0,"R$ 0,37","1,37%","2,59%","-3,50%","0,89",N/A,N/A
247,RECR11,Títulos e Val. Mob.,"R$ 76,50",117588.0,"R$ 0,91","1,09%","2,24%","-2,57%","0,80",N/A,N/A
248,RECT11,Híbrido,"R$ 49,77",13226.0,"R$ 0,54","1,05%","2,11%","0,29%","0,53","15,10%",N/A
249,RECX11,Outros,"R$ 63,70",28.0,"R$ 0,70","1,08%","2,17%","0,86%","0,82",N/A,N/A
250,RELG11,Híbrido,"R$ 63,35",528.0,"R$ 0,70","0,99%","1,98%","0,40%","0,52","10,40%","10,40%"
251,RFOF11,Títulos e Val. Mob.,"R$ 66,97",390.0,"R$ 0,70","1,05%","3,09%","-0,49%","0,88",N/A,N/A
252,RMAI11,Lajes Corporativas,"R$ 47,00",132.0,"R$ 0,26","0,55%","1,58%","-4,08%","0,47","23,44%",N/A
253,RNDP11,Títulos e Val. Mob.,"R$ 117,00",16.0,"R$ 0,33","0,21%","0,74%","1,62%","0,63",N/A,N/A
254,RNGO11,Lajes Corporativas,"R$ 47,47",1838.0,"R$ 0,43","0,91%","1,82%","-0,55%","0,55","24,10%",N/A
255,RRCI11,Títulos e Val. Mob.,"R$ 80,02",92.0,"R$ 1,00","1,25%","3,54%","-4,92%","0,88",N/A,N/A
256,RSPD11,Residencial,"R$ 10,02",103.0,"R$ 8,37","0,00%",N/A,"0,00%","0,01",N/A,N/A
257,RSPD11,Residencial,"R$ 10,02",20507.0,"R$ 8,37","0,00%",N/A,"0,00%","0,01",N/A,N/A
258,RSPD11,Residencial,"R$ 10,02",22773.0,"R$ 8,37","0,00%",N/A,"0,00%","0,01",N/A,N/A
259,RSPD11,Residencial,"R$ 10,03",42904.0,"R$ 8,37","0,00%",N/A,"0,00%","0,01",N/A,N/A
260,RSPD11,Residencial,"R$ 10,03",45627.0,"R$ 8,37","0,00%",N/A,"0,00%","0,01",N/A,N/A
261,RSPD11,Residencial,"R$ 10,03",25802.0,"R$ 8,37","0,00%",N/A,"0,00%","0,01",N/A,N/A
262,RSPD11,Residencial,"R$ 10,03",31960.0,"R$ 8,37","0,00%",N/A,"0,00%","0,01",N/A,N/A
263,RSPD11,Residencial,"R$ 10,05",31636.0,"R$ 8,37","0,00%",N/A,"0,00%","0,01",N/A,N/A
264,RSPD11,Residencial,"R$ 10,03",44516.0,"R$ 8,37","0,00%",N/A,"0,00%","0,01",N/A,N/A
265,RURA11,,"R$ 10,50",79145.0,"R$ 0,11","1,05%","2,00%","0,86%",N/A,N/A,N/A
266,RVBI11,Títulos e Val. Mob.,"R$ 70,26",2156.0,"R$ 0,75","1,09%","2,15%","-1,66%","0,86",N/A,N/A
267,RZAG11,Títulos e Val. Mob.,"R$ 9,35",255491.0,"R$ 0,12","1,25%","2,50%","1,14%","0,98",N/A,N/A
268,RZAK11,Títulos e Val. Mob.,"R$ 90,98",47942.0,"R$ 1,20","1,30%","2,52%","-6,43%","0,98",N/A,N/A
269,RZTR11,Híbrido,"R$ 82,76",25347.0,"R$ 0,85","1,01%","1,95%","-6,63%","0,86",N/A,N/A
270,SADI11,Títulos e Val. Mob.,"R$ 87,78",4972.0,"R$ 1,03","1,17%","3,52%","-3,01%","0,90",N/A,N/A
271,SARE11,Híbrido,"R$ 55,80",36568.0,"R$ 0,63","1,03%","2,10%","1,23%","0,59","6,20%",N/A
272,SCPF11,Shoppings,"R$ 4,95",430.0,"R$ 0,05","0,91%","0,91%","0,00%","0,42","29,30%",N/A
273,SDIL11,Logística,"R$ 89,20",6265.0,"R$ 0,83","0,92%","1,82%","-2,72%","0,92","2,60%",N/A
274,SEQR11,Outros,"R$ 59,40",972.0,"R$ 0,69","1,15%","2,30%","0,47%","0,64","0,00%",N/A
275,SHPH11,Shoppings,"R$ 657,00",11.0,"R$ 3,40","0,52%","0,98%","-10,88%","0,73","10,80%",N/A
276,SNAG11,,"R$ 100,70",5552.0,"R$ 1,06","1,05%","2,24%","-0,30%","1,00",N/A,N/A
277,SNCI11,Títulos e Val. Mob.,"R$ 91,70",13562.0,"R$ 1,00","1,04%","2,07%","-0,91%","0,94",N/A,N/A
278,SNFF11,Títulos e Val. Mob.,"R$ 83,94",2477.0,"R$ 0,65","0,77%","1,52%","-3,47%","0,94",N/A,N/A
